projection_1,projection_2,projection_method,subtype_id,subtype,Luminal subtype signature,HER2-enriched subtype signature,Basal-like subtype signature
4.176327,-3.8506815,PCA,0,Luminal A,1.1221501123944713,-0.02952394114112531,-0.30302425919446985
20.18442,0.76966715,PCA,1,Luminal B,1.8695048053033367,0.5710813670204556,-1.7668970792149876
-0.31831777,-5.088153,PCA,4,Normal-like,1.0064545331563581,-0.3680685579521369,-0.4095063285918785
21.801163,1.1588326,PCA,1,Luminal B,1.4064488988615749,0.9030326313041978,-1.5145963360859516
0.14711297,-4.7624187,PCA,4,Normal-like,0.7473425419969539,-0.015476082553614892,-0.4119938597888549
-6.820731,1.0608201,PCA,3,Basal-like,-0.7269986304048268,-0.5550594712015884,0.8868122248119685
-8.166083,2.2368417,PCA,3,Basal-like,-0.8330081900565875,-0.3576918984901424,1.1590623148311967
-6.5164022,-0.7846422,PCA,3,Basal-like,-0.5507366410412631,-0.029007520671404774,1.067012160150183
-6.4374027,-2.5832078,PCA,3,Basal-like,-1.1457949619983818,-0.2219190789309739,0.2299677017699898
-6.0099926,2.65527,PCA,3,Basal-like,-0.5058764839382429,0.055300018268369666,0.16187430660831542
-0.009872615,-5.370046,PCA,0,Luminal A,0.5626217234928149,-0.18277161263444497,0.09544669065271191
-6.2232165,-2.9078457,PCA,3,Basal-like,-0.5119681292167271,-0.575785389389047,0.5762981343679245
1.027,-4.7243166,PCA,0,Luminal A,0.7847661931304668,-0.4441119895953094,-0.04924780016449341
-5.867924,7.4070067,PCA,3,Basal-like,-0.6622540729381553,0.017352167462494766,0.6237354636369137
19.88878,1.0367141,PCA,1,Luminal B,1.3658898255207117,0.45218508421863546,-1.0712061446107564
-5.3234653,-4.7168345,PCA,3,Basal-like,-0.11393953984503795,-0.42605199621862944,0.6240404996953577
-5.810356,-3.1524172,PCA,3,Basal-like,-0.3672163368658903,-0.10265495925783767,0.1587822162924932
-3.7217603,-4.3728886,PCA,3,Basal-like,0.019444269683531853,-0.04818640447712638,0.4306881135897079
-8.011825,0.6816578,PCA,3,Basal-like,-1.1547637407899978,-0.7342935347990218,1.0627582756258218
-0.7184648,-4.972491,PCA,1,Luminal B,0.47299468375686726,-0.6593167243405248,-0.9088117250657077
-4.7984242,10.895994,PCA,4,Normal-like,-0.8170055544703902,0.5280032319392268,-0.2004017785957422
-7.288751,-0.18509912,PCA,3,Basal-like,-0.555935759031569,-0.41241887988201853,1.0274955356982827
7.539262,6.5436244,PCA,2,HER2-enriched,-0.542267186785272,1.5552535514029977,-0.8899107911427373
1.4870132,-4.1163383,PCA,0,Luminal A,0.6095480963958217,0.0031206327330693673,-0.4846143201122549
-6.3001504,-2.3137672,PCA,3,Basal-like,-0.665106428343477,-0.38121803669190424,0.7070251639852864
-6.622226,7.8146815,PCA,4,Normal-like,-1.2525075832093335,-0.5957835388636802,0.4906705089328511
-7.130403,0.9017453,PCA,3,Basal-like,-0.946343989565631,0.22021811811480296,1.1084419430322339
-2.4008136,-6.065292,PCA,3,Basal-like,0.5702156786494084,-0.04378019316901093,0.5553855317972333
-6.271159,-1.912601,PCA,3,Basal-like,-0.2016519501978212,-0.35193811973201033,0.7321872814470137
-7.0609317,6.4456506,PCA,3,Basal-like,-0.6565309497763028,-0.12630037531836327,0.47130602189644594
2.5842679,-4.1146126,PCA,0,Luminal A,0.8095811462698672,0.07559611185008781,-0.0575304429870803
21.120651,1.6695895,PCA,1,Luminal B,1.6367944418992062,1.651109826044614,-1.6386313082128967
-2.2900815,-5.964659,PCA,3,Basal-like,0.5702156786494084,-0.04378019316901093,0.5553855317972333
-6.164717,1.4382329,PCA,3,Basal-like,-0.7317721561799302,-0.2825371193993118,0.946656095747291
-2.3900135,-6.347513,PCA,3,Basal-like,0.5901785493375905,-0.21064239695145082,0.4335726560290508
-5.1495266,9.52195,PCA,4,Normal-like,-0.9180636369434114,0.43897114252833785,-0.0653260317884952
